Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Veg Biryani Combo,3,1355
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Poori Sagu and Rice Bath,2,1453
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Grilled Veg Sandwich,3,1375
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Grilled Paneer Sandwich,2,1377
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Grilled Cheese Sandwich,2,1376
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Set Dosa - 3 Pcs,2,1374
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Puliogare combo,2,1357
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Set Dosa and Bisibele Bath,2,1455
31-05-2017,BN,Dinner,BMR,Vasudev Adigas,Simple veg meal,3,1359
31-05-2017,BN,Dinner,BMR,Delhi Highway Banglore,Stuff paratha & Chole,1,388
31-05-2017,BN,Dinner,BMR,Delhi Highway Banglore,Mix veg Paratha Combo,2,1133
31-05-2017,BN,Dinner,BMR,Delhi Highway Banglore,Aloo Paratha Combo,2,1138
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Egg Biryani & Plain NV gravy,6,1146
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Chicken Biryani Mega Meal,3,380
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Veg Kothu Parota & Veg Kurma,3,369
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Plain Parota & Karaikudi Chicken Masala,2,1143
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Chicken Biryani & Chicken 65,3,360
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Chappathi & Chettinad Chicken Masala,1,364
31-05-2017,BN,Dinner,BMR,Anjappar Koramangala,Chettinadu Chicken Biryani Combo,4,385
31-05-2017,BN,Dinner,BMR,Nandhana,New Plain Biryani & Chicken 65,2,1211
31-05-2017,BN,Dinner,BMR,Nandhana,New Nellore Chicken Biryani & Chikcen Kabab,2,1225
31-05-2017,BN,Dinner,BMR,Nandhana,New Chapati & Veg Biryani,3,1402
